startYear,primaryName,count,test,rank
1910 - 1920,Theodore Roberts,46,8,5.0
1910 - 1920,Lon Chaney,41,9,4.0
1910 - 1920,Charles Ray,40,10,1.0
1910 - 1920,Wallace Reid,40,11,2.0
1910 - 1920,William S. Hart,40,12,3.0
1920 - 1930,Hoot Gibson,64,13,5.0
1920 - 1930,Buck Jones,63,14,4.0
1920 - 1930,Noah Beery,58,15,2.0
1920 - 1930,Patsy Ruth Miller,58,16,3.0
1920 - 1930,George Fawcett,55,17,1.0
1930 - 1940,Bob Steele,66,18,5.0
1930 - 1940,Buck Jones,62,19,4.0
1930 - 1940,Zasu Pitts,60,20,3.0
1930 - 1940,George 'Gabby' Hayes,59,21,2.0
1930 - 1940,Charles Starrett,58,22,1.0
1940 - 1950,Al St. John,79,23,5.0
1940 - 1950,Charles Starrett,77,24,3.0
1940 - 1950,Johnny Mack Brown,77,25,4.0
1940 - 1950,Raymond Hatton,64,26,2.0
1940 - 1950,Roy Rogers,62,27,1.0
1950 - 1960,Toshirô Mifune,49,28,5.0
1950 - 1960,Paul Hörbiger,48,29,4.0
1950 - 1960,Luis Aguilar,46,30,3.0
1950 - 1960,Andrés Soler,45,31,2.0
1950 - 1960,Alberto Sordi,43,32,1.0
1960 - 1970,Türkan Soray,73,33,5.0
1960 - 1970,Sadri Alisik,70,34,4.0
1960 - 1970,Cüneyt Arkin,68,35,3.0
1960 - 1970,Dionysis Papagiannopoulos,63,36,2.0
1960 - 1970,Shintarô Katsu,59,37,1.0
1970 - 1980,Cüneyt Arkin,94,38,5.0
1970 - 1980,Jamie Gillis,81,39,4.0
1970 - 1980,John Holmes,79,40,2.0
1970 - 1980,Ric Lutze,79,41,3.0
1970 - 1980,Junko Miyashita,75,42,1.0
1980 - 1990,Mohanlal,101,43,5.0
1980 - 1990,Mammootty,98,44,4.0
1980 - 1990,Mithun Chakraborty,75,45,3.0
1980 - 1990,Ron Jeremy,68,46,2.0
1980 - 1990,Eric Edwards,66,47,1.0
1990 - 2000,Simon Yam,57,48,5.0
1990 - 2000,Mithun Chakraborty,55,49,3.0
1990 - 2000,Mohanlal,55,50,4.0
1990 - 2000,Andy Lau,54,51,2.0
1990 - 2000,Anthony Chau-Sang Wong,53,52,1.0
2000 - 2010,Seiji Nakamitsu,118,53,5.0
2000 - 2010,Kyôko Kazama,73,54,4.0
2000 - 2010,Motoko Sasaki,55,55,3.0
2000 - 2010,Lemon Hanazawa,51,56,2.0
2000 - 2010,Prakash Raj,50,57,1.0
2010 - 2020,Eric Roberts,131,58,5.0
2010 - 2020,Tom Sizemore,66,59,4.0
2010 - 2020,Prakash Raj,63,60,3.0
2010 - 2020,Sergey A.,60,61,2.0
2010 - 2020,Danny Trejo,59,62,1.0
2020 - 2030,Eric Roberts,30,63,5.0
2020 - 2030,Ross K. Foad,24,64,3.0
2020 - 2030,Simon Hill,24,65,4.0
2020 - 2030,Cascade Nerida,15,66,1.0
2020 - 2030,Shawn C. Phillips,15,67,2.0
